"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"351","#00175","","","Togepi","","Hustle Serene Grace Super Luck","35","20","65","40","65",20
"352","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","#00176","","","Togetic","","Hustle Serene Grace Super Luck","55","40","85","80","105",40
"354","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","#00177","","","Natu","","Synchronize Early Bird Magic Bounce","40","50","45","70","45",70
"356","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357","#00178","","","Xatu","","Synchronize Early Bird Magic Bounce","65","75","70","95","70",95
"358","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359","#00179","","","Mareep","","Static Plus","55","40","40","65","45",35
"360","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361","#00180","","","Flaaffy","","Static Plus","70","55","55","80","60",45
"362","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363","#00181","","","Ampharos","","Static Plus","90","75","85","115","90",55
"364","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","#00182","","","Bellossom","","Chlorophyll Healer","75","80","95","90","100",50
"366","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367","#00183","","","Marill","","Thick Fat Huge Power Sap Sipper","70","20","50","20","50",40
"368","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369","#00184","","","Azumarill","","Thick Fat Huge Power Sap Sipper","100","50","80","60","80",50
"370","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","#00185","","","Sudowoodo","","Sturdy Rock Head Rattled","70","100","115","30","65",30
"372","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","#00186","","","Politoed","","Water Absorb Damp Drizzle","90","75","75","90","100",70
"374","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","#00187","","","Hoppip","","Chlorophyll Leaf Guard Infiltrator","35","35","40","35","55",50
"376","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","#00188","","","Skiploom","","Chlorophyll Leaf Guard Infiltrator","55","45","50","45","65",80
"378","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","#00189","","","Jumpluff","","Chlorophyll Leaf Guard Infiltrator","75","55","70","55","95",110
"380","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","#00190","","","Aipom","","Run Away Pickup Skill Link","55","70","55","40","55",85
"382","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","#00191","","","Sunkern","","Chlorophyll Solar Power Early Bird","30","30","30","30","30",30
"384","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385","#00192","","","Sunflora","","Chlorophyll Solar Power Early Bird","75","75","55","105","85",30
"386","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387","#00193","","","Yanma","","Speed Boost Compoundeyes Frisk","65","65","45","75","45",95
"388","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","#00194","","","Wooper","","Damp Water Absorb Unaware","55","45","45","25","25",15
"390","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","#00195","","","Quagsire","","Damp Water Absorb Unaware","95","85","85","65","65",35
"392","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393","#00196","","","Espeon","","Synchronize Magic Bounce","65","65","60","130","95",110
"394","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395","#00197","","","Umbreon","","Synchronize Inner Focus","95","65","110","60","130",65
"396","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397","#00198","","","Murkrow","","Insomnia Super Luck Prankster","60","85","42","85","42",91
"398","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","#00199","","","Slowking","","Oblivious Own Tempo Regenerator","95","75","80","100","110",30
"400","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","#00200","","","Misdreavus","","Levitate","60","60","60","85","85",85
"402","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","#00201","","","Unown","","Levitate","48","72","48","72","48",48
"404","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405","#00202","","","Wobbuffet","","Shadow Tag Telepathy","190","33","58","33","58",33
"406","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407","#00203","","","Girafarig","","Inner Focus Early Bird Sap Sipper","70","80","65","90","65",85
"408","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409","#00204","","","Pineco","","Sturdy Overcoat","50","65","90","35","35",15
"410","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","#00205","","","Forretress","","Sturdy Overcoat","75","90","140","60","60",40
"412","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","#00206","","","Dunsparce","","Serene Grace Run Away Rattled","100","70","70","65","65",45
"414","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","#00207","","","Gligar","","Hyper Cutter Sand Veil Immunity","65","75","105","35","65",85
"416","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","#00208","","","Steelix","","Rock Head Sturdy Sheer Force","75","85","200","55","65",30
"418","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","#00209","","","Snubbull","","Intimidate Run Away Rattled","60","80","50","40","40",30
"420","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","#00210","","","Granbull","","Intimidate Quick Feet Rattled","90","120","75","60","60",45
"422","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","#00211","","","Qwilfish","","Poison Point Swift Swim Intimidate","65","95","85","55","55",85
"424","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425","#00212","","","Scizor","","Swarm Technician Light Metal","70","130","100","55","80",65
"426","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","#00213","","","Shuckle","","Sturdy Gluttony Contrary","20","10","230","10","230",5
"428","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","#00214","","","Heracross","","Swarm Guts Moxie","80","125","75","40","95",85
"430","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","#00215","","","Sneasel","","Inner Focus Keen Eye Pickpocket","55","95","55","35","75",115
"432","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433","#00216","","","Teddiursa","","Pickup Quick Feet Honey Gather","60","80","50","50","50",40
"434","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435","#00217","","","Ursaring","","Guts Quick Feet Unnerve","90","130","75","75","75",55
"436","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437","#00218","","","Slugma","","Magma Armor Flame Body Weak Armor","40","40","40","70","40",20
"438","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","#00219","","","Magcargo","","Magma Armor Flame Body Weak Armor","60","50","120","90","80",30
"440","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441","#00220","","","Swinub","","Oblivious Snow Cloak Thick Fat","50","50","40","30","30",50
"442","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443","#00221","","","Piloswine","","Oblivious Snow Cloak Thick Fat","100","100","80","60","60",50
"444","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","#00222","","","Corsola","","Hustle Natural Cure Regenerator","65","55","95","65","95",35
"446","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447","#00223","","","Remoraid","","Hustle Sniper Moody","35","65","35","65","35",65
"448","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","#00224","","","Octillery","","Suction Cups Sniper Moody","75","105","75","105","75",45
"450","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451","#00225","","","Delibird","","Vital Spirit Hustle Insomnia","45","55","45","65","45",75
"452","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","#00226","","","Mantine","","Swift Swim Water Absorb Water Veil","85","40","70","80","140",70
"454","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","#00227","","","Skarmory","","Keen Eye Sturdy Weak Armor","65","80","140","40","70",70
"456","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","#00228","","","Houndour","","Early Bird Flash Fire Unnerve","45","60","30","80","50",65
"458","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"459","#00229","","","Houndoom","","Early Bird Flash Fire Unnerve","75","90","50","110","80",95
"460","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461","#00230","","","Kingdra","","Swift Swim Sniper Damp","75","95","95","95","95",85
"462","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"463","#00231","","","Phanpy","","Pickup Sand Veil","90","60","60","40","40",40
"464","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465","#00232","","","Donphan","","Sturdy Sand Veil","90","120","120","60","60",50
"466","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"467","#00233","","","Porygon2","","Trace Download Analytic","85","80","90","105","95",60
"468","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"469","#00234","","","Stantler","","Intimidate Frisk Sap Sipper","73","95","62","85","65",85
"470","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"471","#00235","","","Smeargle","","Own Tempo Technician Moody","55","20","35","20","45",75
"472","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"473","#00236","","","Tyrogue","","Guts Steadfast Vital Spirit","35","35","35","35","35",35
"474","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","#00237","","","Hitmontop","","Intimidate Technician Steadfast","50","95","95","35","110",70
"476","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"477","#00238","","","Smoochum","","Oblivious Forewarn Hydration","45","30","15","85","65",65
"478","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"479","#00239","","","Elekid","","Static Vital Spirit","45","63","37","65","55",95
"480","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"481","#00240","","","Magby","","Flame Body Vital Spirit","45","75","37","70","55",83
"482","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483","#00241","","","Miltank","","Thick Fat Scrappy Sap Sipper","95","80","105","40","70",100
"484","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"485","#00242","","","Blissey","","Natural Cure Serene Grace Healer","255","10","10","75","135",55
"486","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"487","#00243","","","Raikou","","Pressure Inner Focus","90","85","75","115","100",115
"488","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489","#00244","","","Entei","","Pressure Inner Focus","115","115","85","90","75",100
"490","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"491","#00245","","","Suicune","","Pressure Inner Focus","100","75","115","90","115",85
"492","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"493","#00246","","","Larvitar","","Guts Sand Veil","50","64","50","45","50",41
"494","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"495","#00247","","","Pupitar","","Shed Skin","70","84","70","65","70",51
"496","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"497","#00248","","","Tyranitar","","Sand Stream Unnerve","100","134","110","95","100",61
"498","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"499","#00249","","","Lugia","","Pressure Multiscale","106","90","130","90","154",110
"500","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"501","#00250","","","Ho-Oh","","Pressure Regenerator","106","130","90","110","154",90
"502","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"503","#00251","","","Celebi","","Natural Cure","100","100","100","100","100",100
"504","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"505","#00252","","","Treecko","","Overgrow Unburden","40","45","35","65","55",70
"506","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"507","#00253","","","Grovyle","","Overgrow Unburden","50","65","45","85","65",95
"508","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"509","#00254","","","Sceptile","","Overgrow Unburden","70","85","65","105","85",120
"510","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"511","#00255","","","Torchic","","Blaze Speed Boost","45","60","40","70","50",45
"512","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"513","#00256","","","Combusken","","Blaze Speed Boost","60","85","60","85","60",55
"514","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"515","#00257","","","Blaziken","","Blaze Speed Boost","80","120","70","110","70",80
"516","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"517","#00258","","","Mudkip","","Torrent Damp","50","70","50","50","50",40
"518","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","#00259","","","Marshtomp","","Torrent Damp","70","85","70","60","70",50
"520","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"521","#00260","","","Swampert","","Torrent Damp","100","110","90","85","90",60
"522","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"523","#00261","","","Poochyena","","Run Away Quick Feet Rattled","35","55","35","30","30",35
"524","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"525","#00262","","","Mightyena","","Intimidate Quick Feet Moxie","70","90","70","60","60",70
"526","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"527","#00263","","","Zigzagoon","","Pickup Gluttony Quick Feet","38","30","41","30","41",60
"528","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"529","#00264","","","Linoone","","Pickup Gluttony Quick Feet","78","70","61","50","61",100
"530","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"531","#00265","","","Wurmple","","Shield Dust Run Away","45","45","35","20","30",20
"532","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"533","#00266","","","Silcoon","","Shed Skin","50","35","55","25","25",15
"534","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"535","#00267","","","Beautifly","","Swarm Rivalry","60","70","50","100","50",65
"536","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"537","#00268","","","Cascoon","","Shed Skin","50","35","55","25","25",15
"538","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"539","#00269","","","Dustox","","Shield Dust Compoundeyes","60","50","70","50","90",65
"540","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"541","#00270","","","Lotad","","Swift Swim Rain Dish Own Tempo","40","30","30","40","50",30
"542","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"543","#00271","","","Lombre","","Swift Swim Rain Dish Own Tempo","60","50","50","60","70",50
"544","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"545","#00272","","","Ludicolo","","Swift Swim Rain Dish Own Tempo","80","70","70","90","100",70
"546","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"547","#00273","","","Seedot","","Chlorophyll Early Bird Pickpocket","40","40","50","30","30",30
"548","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"549","#00274","","","Nuzleaf","","Chlorophyll Early Bird Pickpocket","70","70","40","60","40",60
"550","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"551","#00275","","","Shiftry","","Chlorophyll Early Bird Pickpocket","90","100","60","90","60",80
"552","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"553","#00276","","","Taillow","","Guts Scrappy","40","55","30","30","30",85
"554","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"555","#00277","","","Swellow","","Guts Scrappy","60","85","60","75","50",125
"556","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557","#00278","","","Wingull","","Keen Eye Hydration Rain Dish","40","30","30","55","30",85
"558","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"559","#00279","","","Pelipper","","Keen Eye Drizzle Rain Dish","60","50","100","95","70",65
"560","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"561","#00280","","","Ralts","","Synchronize Trace Telepathy","28","25","25","45","35",40
"562","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"563","#00281","","","Kirlia","","Synchronize Trace Telepathy","38","35","35","65","55",50
"564","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"565","#00282","","","Gardevoir","","Synchronize Trace Telepathy","68","65","65","125","115",80
"566","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"567","#00283","","","Surskit","","Swift Swim Rain Dish","40","30","32","50","52",65
"568","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"569","#00284","","","Masquerain","","Intimidate Unnerve","70","60","62","100","82",80
"570","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"571","#00285","","","Shroomish","","Effect Spore Poison Heal Quick Feet","60","40","60","40","60",35
"572","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"573","#00286","","","Breloom","","Effect Spore Poison Heal Technician","60","130","80","60","60",70
"574","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"575","#00287","","","Slakoth","","Truant","60","60","60","35","35",30
"576","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"577","#00288","","","Vigoroth","","Vital Spirit","80","80","80","55","55",90
"578","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"579","#00289","","","Slaking","","Truant","150","160","100","95","65",100
"580","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581","#00290","","","Nincada","","Compoundeyes Run Away","31","45","90","30","30",40
"582","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"583","#00291","","","Ninjask","","Speed Boost Infiltrator","61","90","45","50","50",160
"584","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"585","#00292","","","Shedinja","","Wonder Guard","1","90","45","30","30",40
"586","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"587","#00293","","","Whismur","","Soundproof Rattled","64","51","23","51","23",28
"588","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"589","#00294","","","Loudred","","Soundproof Scrappy","84","71","43","71","43",48
"590","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"591","#00295","","","Exploud","","Soundproof Scrappy","104","91","63","91","73",68
"592","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"593","#00296","","","Makuhita","","Thick Fat Guts Sheer Force","72","60","30","20","30",25
"594","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"595","#00297","","","Hariyama","","Thick Fat Guts Sheer Force","144","120","60","40","60",50
"596","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"597","#00298","","","Azurill","","Thick Fat Huge Power Sap Sipper","50","20","40","20","40",20
"598","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"599","#00299","","","Nosepass","","Sturdy Magnet Pull Sand Force","30","45","135","45","90",30
"600","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"601","#00300","","","Skitty","","Cute Charm Normalize Wonder Skin","50","45","45","35","35",50
"602","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"603","#00301","","","Delcatty","","Cute Charm Normalize Wonder Skin","70","65","65","55","55",90
"604","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"605","#00302","","","Sableye","","Keen Eye Stall Prankster","50","75","75","65","65",50
"606","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"607","#00303","","","Mawile","","Hyper Cutter Intimidate Sheer Force","50","85","85","55","55",50
"608","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"609","#00304","","","Aron","","Sturdy Rock Head Heavy Metal","50","70","100","40","40",30
"610","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"611","#00305","","","Lairon","","Sturdy Rock Head Heavy Metal","60","90","140","50","50",40
"612","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"613","#00306","","","Aggron","","Sturdy Rock Head Heavy Metal","70","110","180","60","60",50
"614","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"615","#00307","","","Meditite","","Pure Power Telepathy","30","40","55","40","55",60
"616","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"617","#00308","","","Medicham","","Pure Power Telepathy","60","60","75","60","75",80
"618","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"619","#00309","","","Electrike","","Static Lightning Rod Minus","40","45","40","65","40",65
"620","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"621","#00310","","","Manectric","","Static Lightning Rod Minus","70","75","60","105","60",105
"622","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"623","#00311","","","Plusle","","Plus Lightning Rod","60","50","40","85","75",95
"624","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"625","#00312","","","Minun","","Minus Volt Absorb","60","40","50","75","85",95
"626","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"627","#00313","","","Volbeat","","Illuminate Swarm Prankster","65","73","75","47","85",85
"628","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"629","#00314","","","Illumise","","Oblivious Tinted Lens Prankster","65","47","75","73","85",85
"630","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"631","#00315","","","Roselia","","Natural Cure Poison Point Leaf Guard","50","60","45","100","80",65
"632","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"633","#00316","","","Gulpin","","Liquid Ooze Sticky Hold Gluttony","70","43","53","43","53",40
"634","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"635","#00317","","","Swalot","","Liquid Ooze Sticky Hold Gluttony","100","73","83","73","83",55
"636","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"637","#00318","","","Carvanha","","Rough Skin Speed Boost","45","90","20","65","20",65
"638","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"639","#00319","","","Sharpedo","","Rough Skin Speed Boost","70","120","40","95","40",95
"640","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"641","#00320","","","Wailmer","","Water Veil Oblivious Pressure","130","70","35","70","35",60
"642","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"643","#00321","","","Wailord","","Water Veil Oblivious Pressure","170","90","45","90","45",60
"644","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"645","#00322","","","Numel","","Oblivious Simple Own Tempo","60","60","40","65","45",35
"646","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"647","#00323","","","Camerupt","","Magma Armor Solid Rock Anger Point","70","100","70","105","75",40
"648","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"649","#00324","","","Torkoal","","White Smoke Drought Shell Armor","70","85","140","85","70",20
"650","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"651","#00325","","","Spoink","","Thick Fat Own Tempo Gluttony","60","25","35","70","80",60
"652","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"653","#00326","","","Grumpig","","Thick Fat Own Tempo Gluttony","80","45","65","90","110",80
"654","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"655","#00327","","","Spinda","","Own Tempo Tangled Feet Contrary","60","60","60","60","60",60
"656","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"657","#00328","","","Trapinch","","Hyper Cutter Arena Trap Sheer Force","45","100","45","45","45",10
"658","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"659","#00329","","","Vibrava","","Levitate","50","70","50","50","50",70
"660","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"661","#00330","","","Flygon","","Levitate","80","100","80","80","80",100
"662","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"663","#00331","","","Cacnea","","Sand Veil Water Absorb","50","85","40","85","40",35
"664","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"665","#00332","","","Cacturne","","Sand Veil Water Absorb","70","115","60","115","60",55
"666","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"667","#00333","","","Swablu","","Natural Cure Cloud Nine","45","40","60","40","75",50
"668","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"669","#00334","","","Altaria","","Natural Cure Cloud Nine","75","70","90","70","105",80
"670","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"671","#00335","","","Zangoose","","Immunity Toxic Boost","73","115","60","60","60",90
"672","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"673","#00336","","","Seviper","","Shed Skin Infiltrator","73","100","60","100","60",65
"674","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"675","#00337","","","Lunatone","","Levitate","90","55","65","95","85",70
"676","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"677","#00338","","","Solrock","","Levitate","90","95","85","55","65",70
"678","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"679","#00339","","","Barboach","","Oblivious Anticipation Hydration","50","48","43","46","41",60
"680","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"681","#00340","","","Whiscash","","Oblivious Anticipation Hydration","110","78","73","76","71",60
"682","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"683","#00341","","","Corphish","","Hyper Cutter Shell Armor Adaptability","43","80","65","50","35",35
"684","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"685","#00342","","","Crawdaunt","","Hyper Cutter Shell Armor Adaptability","63","120","85","90","55",55
"686","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"687","#00343","","","Baltoy","","Levitate","40","40","55","40","70",55
"688","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"689","#00344","","","Claydol","","Levitate","60","70","105","70","120",75
"690","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"691","#00345","","","Lileep","","Suction Cups Storm Drain","66","41","77","61","87",23
"692","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"693","#00346","","","Cradily","","Suction Cups Storm Drain","86","81","97","81","107",43
"694","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"695","#00347","","","Anorith","","Battle Armor Swift Swim","45","95","50","40","50",75
"696","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"697","#00348","","","Armaldo","","Battle Armor Swift Swim","75","125","100","70","80",45
"698","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"699","#00349","","","Feebas","","Swift Swim Oblivious Adaptability","20","15","20","10","55",80
"700","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"701","#00350","","","Milotic","","Marvel Scale Competitive Cute Charm","95","60","79","100","125",81
"702","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"703","#00351","","","Castform","","Forecast","70","70","70","70","70",70
"704","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"705","#00352","","","Kecleon","","Color Change Protean","60","90","70","60","120",40
